time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1991,0,0,0,0,0,0,0,0.6757,151.22,127.2132,739.5755,5602.76,1358.226,579.5812,244.8956,72.6655,62.0779,35.0744,68.1278,782.8266,2523.376,2970.273,195.5464,308.3148,184.4699,-13.2068,86.7897,78.7445,0.264516129,0,-8.721774194,N_addition
1991.08,0,0,0,0,0,0,0,0.6757,135.2524,124.0634,737.36,5599.96,1357.549,575.3857,247.027,69.9172,68.7305,36.3359,68.9734,783.1475,2523.444,2970.296,195.5429,307.987,184.5112,-13.2025,86.9194,78.7767,0.2985714286,0,-6.446428571,N_addition
1991.17,0,0,0,0,0,0,0,0.6757,120.9543,120.9882,735.1512,5597.157,1356.869,570.7343,248.8278,66.7786,73.6476,37.4781,70.055,783.5353,2523.574,2970.329,195.5656,307.6201,184.5587,-13.2028,87.0262,78.814,0.3351612903,1.657806452,0.8016129032,N_addition
1991.25,0,0,0,0,0,0,0,0.6757,108.5432,118.0933,732.949,5594.357,1356.192,565.8871,250.0346,63.4987,76.1644,38.4243,71.4044,783.9673,2523.54,2970.356,195.6079,307.2362,184.6065,-13.199,87.0942,78.8548,0.3256666667,5.852786667,5.059166667,N_addition
1991.33,0,0,0,0,0,0,0,0.6757,98.6694,115.7269,730.7532,5591.559,1355.514,559.014,249.9906,58.5763,73.2031,39.3395,73.2303,784.589,2523.608,2970.403,195.7195,306.7096,184.6728,-13.197,87.0759,78.9108,0.4712903226,12.73037742,11.36935484,N_addition
1991.42,104.098,93.6882,9.8893,0.5205,0,0,0,94.3639,99.6915,115.0463,728.5641,5588.759,1354.837,542.6352,247.564,47.1785,60.6769,40.0398,75.2104,786.0659,2524.395,2970.491,196.0907,305.4809,184.826,-13.1918,86.9163,79.0197,0.513,18.26200667,16.88,N_addition
1991.5,215.1679,173.2032,39.8664,2.0982,0,0,0,173.8789,116.9121,116.8235,726.3816,5585.961,1354.159,523.4852,244.5271,36.6121,48.1954,38.9953,75.1421,787.6577,2525.046,2970.604,196.5164,304.0332,185.002,-13.184,86.707,79.1031,0.12,21.55944839,20.35564516,N_addition
1991.58,285.6895,180.4351,69.6878,3.6678,5.7418,21.0532,5.1038,181.1107,127.4306,120.6836,729.9432,5604.218,1358.586,508.2315,246.8137,30.3267,53.3281,37.3421,75.0352,788.6867,2527.85,2970.636,196.7947,302.8781,185.1661,-13.182,86.8953,79.2268,0.2819354839,21.12749032,20.39919355,N_addition
1991.67,427.4216,180.8498,111.8627,5.8875,23.1879,85.0222,20.6115,181.5255,146.5222,126.1496,745.1743,5665.369,1373.41,489.756,245.4393,24.3136,47.3725,33.9619,73.9104,789.4126,2529.652,2970.749,197.0991,301.4759,185.3579,-13.1739,86.8024,79.3224,0.4673333333,15.93270667,15.64583333,N_addition
1991.75,455.8581,180.8531,137.8851,7.2571,23.3753,85.7094,20.778,181.5288,153.8588,128.9268,743.1288,5663.229,1372.891,470.645,242.9137,19.1576,40.8905,30.8201,72.2748,789.4232,2531.058,2970.868,197.3959,300.119,185.5578,-13.1662,86.6737,79.4046,0.4664516129,7.140609677,8.086290323,N_addition
1991.83,456.7379,180.8531,138.7209,7.3011,23.3753,85.7094,20.778,101.2099,141.6311,127.5371,740.9026,5660.398,1372.206,514.1157,241.8426,41.9874,40.6203,30.6609,70.9197,789.3058,2531.131,2970.943,191.7485,299.4189,185.6515,-13.1618,86.6178,79.421,0.269,2.89104,5.048333333,N_addition
